STATISTIC_CODE,Statistic,CSOED_3409,Electoral_Division,TLISTA1,CensusYear,UNIT,VALUE,GUID,ED_ID
FP009C01,Population - 2016,10031,"Jenkinstown, Co.Louth, ",2022,2022,Number,1281.0,2AE1962918FA13A3E055000000000001,147026
FP009C01,Population - 2016,16118,"Mountievers, Co.Clare, ",2022,2022,Number,1281.0,2AE196291FB713A3E055000000000001,37120
FP009C01,Population - 2016,27097,"Kinvarra, Co.Galway, ",2022,2022,Number,1537.0,2AE19629234B13A3E055000000000001,67154
FP009C01,Population - 2016,05051,"Dún Laoghaire-Salthill, Co.Dublin, ",2022,2022,Number,1729.0,2AE196291D5713A3E055000000000001,267075
FP009C01,Population - 2016,33086,"Killea, Co.Donegal, ",2022,2022,Number,1793.0,2AE1962920B813A3E055000000000001,57095
FP009C01,Population - 2016,05052,"Dún Laoghaire-West Central, Co.Dublin, ",2022,2022,Number,2690.0,2AE196291D5913A3E055000000000001,267077
FP009C01,Population - 2016,05058,"Killiney North, Co.Dublin, ",2022,2022,Number,3330.0,2AE196291DB013A3E055000000000001,267096
FP009C01,Population - 2016,19142,"Castleisland, Co.Co.Kerry, ",2022,2022,Number,3330.0,2AE19629237813A3E055000000000001,77044
FP009C01,Population - 2016,04023,"Holmpatrick, Co.Dublin, ",2022,2022,Number,3458.0,2AE196291D9513A3E055000000000001,267094
FP009C01,Population - 2016,02098,"Crumlin A, Co.Dublin, ",2022,2022,Number,3714.0,2AE196291D4D13A3E055000000000001,268051
FP009C01,Population - 2016,27001,"Ballinasloe Urban, Co.Galway, ",2022,2022,Number,6660.0,2AE19629205D13A3E055000000000001,67017
FP009C01,Population - 2016,04030,"Malahide West, Co.Dublin, ",2022,2022,Number,6149.0,2AE196291DE113A3E055000000000001,267106
FP009C01,Population - 2016,04029,"Malahide East, Co.Dublin, ",2022,2022,Number,7429.0,2AE196291DE013A3E055000000000001,267105
FP009C01,Population - 2016,02025,"Beaumont E, Co.Dublin, ",2022,2022,Number,2051.0,2AE196291D2313A3E055000000000001,268025
FP009C01,Population - 2016,18235,"Mallow Rural, Co.Cork, ",2022,2022,Number,4615.0,2AE19629218813A3E055000000000001,47245
FP009C01,Population - 2016,02008,"Ayrfield, Co.Dublin, ",2022,2022,Number,5639.0,2AE196291D0413A3E055000000000001,268008
FP009C01,Population - 2016,21121,"Kilscannell, Co.Limerick, ",2022,2022,Number,513.0,2AE1962917BA13A3E055000000000001,127099
FP009C01,Population - 2016,21096,"Knockaderry, Co.Limerick, ",2022,2022,Number,513.0,2AE1962917BC13A3E055000000000001,127101
FP009C01,Population - 2016,01042,"Shangarry, Co.Carlow, ",2022,2022,Number,513.0,2AE19629181713A3E055000000000001,17044
FP009C01,Population - 2016,30020,"Taghboy, Co.Roscommon, ",2022,2022,Number,513.0,2AE1962919E913A3E055000000000001,197104
FP009C01,Population - 2016,23168,"Killadriffe, Co.Tipperary, ",2022,2022,Number,545.0,2AE196291C8313A3E055000000000001,217098
FP009C01,Population - 2016,19115,"Leitrim, Co.Co.Kerry, ",2022,2022,Number,545.0,2AE19629223713A3E055000000000001,77123
